"","english","spanish","sp_a1","sp_d","en_a1","en_d","en_sp_d_diff","d_diff_sq"
"1","if","que (connection word)",1.49584845048395,-0.822666889229353,3.11834907526397,-6.53473447141548,-5.71206758218613,32.6277160634617
"2","street","calle",3.24358751923577,0.781105177134919,4.39401557902211,-3.38375362500986,-4.16485880214478,17.3460488418029
"3","book","libro",3.79526077393247,-1.55245587211092,2.88261844682,2.5503803535356,4.10283622564652,16.8332650944774
"4","to","a",0.997653464398976,-0.153601723570818,3.42934516583412,-3.80263709398546,-3.64903537041464,13.3154591345371
"5","none","no hay",2.71457114444379,-0.293621421028949,2.36767778933113,-3.84748599794578,-3.55386457691683,12.6299534310642
"6","hat","sombrero",3.27784509990127,-2.1445066221252,3.15106064370763,1.36691634858754,3.51142297071274,12.3300912792491
"7","hear","oír",1.8337463987509,-0.944639201327357,4.48684399316531,-4.35166335127002,-3.40702414994267,11.6078135582926
"8","bench","banco (outside)",2.93916298999418,-2.18227886746368,3.58728515411918,-5.4334617530646,-3.25118288560092,10.5701901556243
"9","much","mucho",3.32819771100373,-1.80087259855009,3.0975518895518,-5.03830064958663,-3.23742805103654,10.4809403856383
"10","potato","papas",2.54087805872937,1.10732334454808,2.89802533663629,-2.07378807820848,-3.18111142275656,10.1194698839922
"11","could","poder",3.96667297955279,-3.40860633304626,3.16229652414765,-6.19133769671929,-2.78273136367303,7.74359384236953
"12","finish","acabar",2.50721123821335,-0.933442160072151,3.13384334472399,-3.68147361226975,-2.7480314521976,7.55167686226724
"13","today","hoy",2.04141712859409,-2.29001981529956,3.78909757638148,-5.01107894950729,-2.72105913420772,7.40416281185529
"14","night night","buenas noches",2.99714668209275,-1.34272808322218,2.03355245241213,1.24003297626761,2.58276105948979,6.67065469041683
"15","hers","suya",2.80090594304913,-3.0149959349304,3.26117609772228,-5.49751901728793,-2.48252308235753,6.16292085443791
"16","bathroom","baño",4.60929496020782,0.495904958767294,4.31147491672158,-1.91700938538148,-2.41291434414877,5.8221556321989
"17","truck","camión/troca",2.27261699786049,-1.42617620590645,2.87129727630596,0.9733869611971,2.39956316710355,5.75790339292002
"18","plate","plato",4.5659507587167,0.16561047707572,4.18834230582391,-2.16344379548604,-2.32905427256176,5.4244938045382
"19","glass","vasos",4.38984611692287,-0.16463147906043,3.19676687279654,-2.472794756507,-2.30816327744657,5.32761771535289
"20","ball","pelota",3.44056884038859,2.15986216407186,3.06048200396958,4.44556812875407,2.28570596468221,5.22445175698383
"21","coke","soda/refresco",2.12803347379963,0.307461798910312,1.42941004365902,-1.94741861226719,-2.25488041117751,5.08448566871204
"22","boat","barco",3.412945521927,-2.01247063643151,2.89859319686511,0.188248501188575,2.20071913762008,4.84316472268729
"23","ear","oreja",4.6777386987574,-0.462433521723415,3.67603630578438,1.69338621468285,2.15581973640627,4.64755873587879
"24","meat","carne",3.69654104430106,0.0860872666798072,2.45191431163068,-2.04023205216587,-2.12631931884568,4.52123384569635
"25","bird","pájaro",2.76934325014595,-0.230402293907392,2.50509077420936,1.78226628070225,2.01266857460964,4.0508347912212
"26","the","la",2.55028695747189,-1.39320614390491,2.96944228075061,-3.28055509868633,-1.88734895478141,3.56208607711449
"27","banana","plátano/banana",2.94993559031907,0.00537095259203341,2.26283767686796,1.88789621535028,1.88252526275825,3.54390136492302
"28","fit","caber",3.75868783972137,-3.4265767699225,4.20761758783269,-5.30407037262309,-1.87749360270058,3.52498222818161
"29","then","entonces",2.93438564129422,-4.24076052267361,3.31751198923433,-6.06441385189348,-1.82365332921987,3.32571146517471
"30","how","cómo",2.55572242491335,-2.51118470824633,2.87286030875649,-4.31552232761413,-1.8043376193678,3.25563424466586
"31","tonight","en la noche",3.27961433010357,-3.49049394990924,3.31339604065083,-5.28806814818392,-1.79757419827468,3.23127299830284
"32","dump","tirar",3.8161164447124,-2.11491917584765,2.80722083811545,-3.89082146992704,-1.77590229407939,3.15382895811645
"33","buy","comprar",3.91408856626181,-1.86777282853268,3.30502963737806,-3.61943408743337,-1.75166125890068,3.06831716593353
"34","be","estar",2.0969828034157,-2.35235571517258,2.56422298553443,-4.10020959999844,-1.74785388482586,3.05499320270084
"35","person","persona",3.19384956389706,-3.76314484002646,3.08381753765274,-5.50891114245736,-1.7457663024309,3.04769998270326
"36","rain","llover",3.95410043063422,-2.63577380741004,4.28544493891944,-0.961413783367056,1.67436002404299,2.80348149011324
"37","down","abajo",3.46431624847145,-1.17333965657163,2.21740413079328,0.456303361556961,1.62964301812859,2.65573636653526
"38","hand","mano",4.11102238941757,1.45762656291932,4.49697391504098,-0.159949257904093,-1.61757582082341,2.61655153611252
"39","happy","feliz",3.08394235422993,-3.12121065670886,2.86046130862548,-1.53321396552984,1.58799669117902,2.5217334911955
"40","clown","payaso",4.03914846044395,-1.08801304762338,2.54433231385643,-2.65632677738404,-1.56831372976067,2.45960795495582
"41","peas","chícharo",3.37976340718878,-2.81275331698837,2.25861047678977,-1.2514941638308,1.56125915315756,2.43753014331827
"42","do","hacer",3.92916007758733,-3.15271215299102,2.52133326053842,-1.60341066565101,1.54930148734,2.40033509867394
"43","soap","jabón",5.33488411556469,0.42372119617733,3.95077930451465,-1.11087100587142,-1.53459220204875,2.35497322658882
"44","big","grande",4.08894436068002,-2.51975923822092,3.83962093449443,-0.990777830900201,1.52898140732072,2.33778414393244
"45","duck","pato",2.49948164399919,0.156850070230795,2.27113769985131,1.65933210851391,1.50248203828312,2.2574522753634
"46","shirt","camisa",4.38478272873967,-2.06422286399204,4.13550206338867,-0.584271673744729,1.47995119024731,2.19025552551444
"47","swing (object)","columpio",3.80006448492836,-1.95803651412041,3.20679676430268,-0.489824237953653,1.46821227616675,2.15564728788676
"48","out","afuera",3.5264354572271,-1.82337176627463,2.24251385406317,-0.374709289486152,1.44866247678848,2.09862297165494
"49","fall","caer(se)",2.59585952679742,-0.446260311233264,4.42587179769714,-1.89019752986765,-1.44393721863439,2.08495469135761
"50","boy","niño",2.66336939912356,0.28101845009805,2.95216321494221,-1.15598124233822,-1.43699969243627,2.06496811606193
"51","broken","roto",4.36378595348629,-3.12728027870294,3.79739047379651,-1.69570378024268,1.43157649846026,2.04941127094374
"52","here","aquí",2.27519302143606,-0.626651071822839,3.01715376258085,-2.0518592702337,-1.42520819841086,2.03121840881754
"53","please","por favor",3.02917010755568,-0.377683274596876,2.85455020190577,1.02970579139578,1.40738906599266,1.98074398307568
"54","party","fiesta",4.52147115425992,-1.99905807810309,3.97927213363258,-3.39637857944972,-1.39732050134663,1.95250458348361
"55","candy","dulce",3.13453028109541,0.626985144447929,2.65748437162857,-0.753893334772849,-1.38087847922078,1.90682537437509
"56","us","nosotros",3.51353867288365,-4.72835842137358,3.3083832941612,-6.09059929193318,-1.3622408705596,1.85570018942299
"57","friend","amiga",2.83680018711705,-1.99199368943989,3.49608216633423,-3.35082476989351,-1.35883108045362,1.84642190520675
"58","shopping","comprar",3.91408856626181,-1.86777282853268,3.96776954392464,-3.22391803454417,-1.35614520601148,1.83912981978793
"59","after","después",2.92880960322556,-4.03413550436013,3.87903561488983,-5.37001939466583,-1.3358838903057,1.7845857683783
"60","sleep","dormir(se)",3.56830238296577,-0.161186875674195,4.36011821608071,-1.46930547553016,-1.30811859985597,1.71117427128914
"61","sun","sol",3.90729477202738,-0.0530901668289715,3.84237414951704,-1.35765333742886,-1.30456317059989,1.70188506608564
"62","hot","caliente",3.26169677453857,0.0240875417713993,2.23372528163082,1.31974413068535,1.29565658891395,1.67872599639614
"63","day","día",2.69734041431105,-2.47165058311692,3.08541610426472,-3.75937900670359,-1.28772842358667,1.658244492913
"64","trash","basura",4.53827725696189,-0.029322626862496,2.19619089125942,-1.27938988702533,-1.25006726016283,1.56266815493101
"65","listen","escuchar",2.97205109043882,-2.99205603777593,3.69635136391227,-4.2342774630182,-1.24222142524227,1.54311406933093
"66","egg","huevo",3.19246375931761,0.629893395370338,3.12775516700118,-0.596947033272928,-1.22684042864327,1.50513743735359
"67","comb","peine",3.94325629939565,-0.67517955959508,2.9209400107988,-1.90118250120417,-1.22600294160909,1.50308321283414
