"","english","spanish","sp_a1","sp_d","en_a1","en_d","en_sp_d_diff","d_diff_sq"
"1","street","calle",3.24358751923577,0.781105177134919,4.39401557902211,-3.38375362500986,-4.16485880214478,17.3460488418029
"2","book","libro",3.79526077393247,-1.55245587211092,2.88261844682,2.5503803535356,4.10283622564652,16.8332650944774
"3","on","encima",2.95874408758978,-4.37788988303305,2.92732471135418,-0.445683319416126,3.93220656361693,15.462248458952
"4","none","no hay",2.71457114444379,-0.293621421028949,2.36767778933113,-3.84748599794578,-3.55386457691683,12.6299534310642
"5","hat","sombrero",3.27784509990127,-2.1445066221252,3.15106064370763,1.36691634858754,3.51142297071274,12.3300912792491
"6","don't","no",1.49652209055613,1.80930185301731,1.9468988674973,-1.61150436364343,-3.42080621666074,11.7019151719448
"7","water (beverage)","agua",2.58339221667869,4.37881886983354,2.80073397163132,0.994194415446091,-3.38462445438745,11.4556826972375
"8","other","otro/otra vez",2.33824685819175,-0.836874349717034,3.08934053259437,-4.05255997792316,-3.21568562820613,10.3406340594514
"9","dish","plato",4.56595075871669,0.16561047707572,2.98528640010744,-2.89881782329577,-3.06442830037149,9.39072080811769
"10","babysitter","nana",0.966761870935172,-1.364309531547,2.40962685503875,-4.30825844972018,-2.94394891817318,8.66683523281305
"11","bread","pan",2.58793952234247,2.49549279436693,3.33365650939146,-0.350677518250502,-2.84617031261743,8.10068544842483
"12","finish","acabar",2.50721123821335,-0.933442160072151,3.13384334472399,-3.68147361226975,-2.7480314521976,7.55167686226724
"13","today","hoy",2.04141712859409,-2.29001981529956,3.78909757638148,-5.01107894950729,-2.72105913420772,7.40416281185529
"14","night night","buenas noches",2.99714668209275,-1.34272808322218,2.03355245241213,1.24003297626761,2.58276105948979,6.67065469041683
"15","table","mesa",4.61188076038461,0.33926228425482,5.01340843214065,-2.22059556046268,-2.5598578447175,6.55287218516173
"16","his","su",2.61931969180948,-2.952042352966,3.53836973185704,-5.42156115890103,-2.46951880593503,6.09852313286679
"17","take","tomar(se)",2.86701831579347,-1.83337030209286,4.34862770015285,-4.24957266558011,-2.41620236348725,5.83803386132139
"18","bathroom","baño",4.60929496020782,0.495904958767294,4.31147491672158,-1.91700938538148,-2.41291434414877,5.8221556321989
"19","truck","camión/troca",2.27261699786049,-1.42617620590645,2.87129727630596,0.9733869611971,2.39956316710355,5.75790339292002
"20","glass","vasos",4.38984611692287,-0.16463147906043,3.19676687279654,-2.472794756507,-2.30816327744657,5.32761771535289
"21","ball","pelota",3.44056884038859,2.15986216407186,3.06048200396958,4.44556812875407,2.28570596468221,5.22445175698383
"22","outside","afuera",3.5264354572271,-1.82337176627463,2.60718259844027,0.435492384158083,2.25886415043272,5.10246725011012
"23","meat","carne",3.69654104430106,0.0860872666798072,2.45191431163068,-2.04023205216587,-2.12631931884568,4.52123384569635
"24","bird","pájaro",2.76934325014595,-0.230402293907392,2.50509077420936,1.78226628070225,2.01266857460964,4.05083479122121
"25","girl","niña",2.34928937007775,0.450828958829241,2.78824793917449,-1.39793952830394,-1.84876848713318,3.41794491901671
"26","put","poner(se)",3.66019746752958,-1.96131212891251,3.91853535462194,-3.77137690364919,-1.81006477473668,3.27633448874254
"27","how","cómo",2.55572242491335,-2.51118470824633,2.87286030875649,-4.31552232761413,-1.8043376193678,3.25563424466586
"28","be","estar",2.0969828034157,-2.35235571517258,2.56422298553443,-4.10020959999844,-1.74785388482586,3.05499320270084
"29","nose","nariz",4.19804356643682,0.454393960864777,3.41782959931259,2.18407375529423,1.72967979442946,2.99179219125753
"30","there","ahí",1.74005319516341,-0.140294647158147,2.375512703696,-1.8109040783618,-1.67060943120365,2.7909358716266
"31","cup","taza",3.52907970939391,-0.841757225677735,3.38567987466283,0.828387673336436,1.67014489901417,2.78938398370305
"32","tomorrow","mañana",2.84048216736659,-2.47788186951377,3.07928848893785,-4.1070190044347,-1.62913713492093,2.65408780437838
"33","hand","mano",4.11102238941757,1.45762656291932,4.49697391504098,-0.159949257904093,-1.61757582082341,2.61655153611252
"34","soft","suave",3.32039936521052,-4.34114924193722,3.27887853185414,-2.74455918317268,1.59659005876454,2.54909981574576
"35","sing","cantar",3.07395488562007,-0.790264862451957,4.05077563879447,-2.37402154827741,-1.58375668582545,2.50828523989682
"36","blanket","cobija",4.48607115697437,-1.28863183168998,3.26482667045207,0.286180742129625,1.57481257381961,2.48003464266033
"37","soap","jabón",5.33488411556469,0.42372119617733,3.95077930451465,-1.11087100587142,-1.53459220204875,2.35497322658882
"38","big","grande",4.08894436068002,-2.51975923822092,3.83962093449443,-0.990777830900201,1.52898140732072,2.33778414393244
"39","duck","pato",2.49948164399919,0.156850070230795,2.27113769985131,1.65933210851391,1.50248203828312,2.25745227536339
"40","couch","sofá",3.00302466481368,-3.67607356842949,3.77631971133485,-2.21778885712133,1.45828471130816,2.12659429923512
"41","out","afuera",3.5264354572271,-1.82337176627463,2.24251385406317,-0.374709289486152,1.44866247678848,2.09862297165494
"42","fall","caer(se)",2.59585952679742,-0.446260311233264,4.42587179769714,-1.89019752986765,-1.44393721863439,2.08495469135761
"43","boy","niño",2.66336939912356,0.28101845009805,2.95216321494221,-1.15598124233822,-1.43699969243627,2.06496811606193
"44","broken","roto",4.36378595348629,-3.12728027870294,3.79739047379651,-1.69570378024268,1.43157649846026,2.04941127094374
"45","here","aquí",2.27519302143606,-0.626651071822839,3.01715376258085,-2.0518592702337,-1.42520819841086,2.03121840881754
"46","please","por favor",3.02917010755568,-0.377683274596876,2.85455020190577,1.02970579139578,1.40738906599266,1.98074398307568
"47","party","fiesta",4.52147115425992,-1.99905807810309,3.97927213363258,-3.39637857944972,-1.39732050134663,1.95250458348361
"48","candy","dulce",3.13453028109541,0.626985144447929,2.65748437162857,-0.753893334772849,-1.38087847922078,1.90682537437509
"49","have","tener",2.81613537769601,-2.49506437353553,4.58496818450719,-3.84771764187266,-1.35265326833714,1.82967086434314
"50","I","yo",2.24683551590473,0.226637785791163,2.10879461283927,-1.11018490068735,-1.33682268647851,1.78709489508363
"51","sleep","dormir(se)",3.56830238296577,-0.161186875674195,4.36011821608071,-1.46930547553016,-1.30811859985597,1.71117427128914
"52","sun","sol",3.90729477202738,-0.0530901668289715,3.84237414951704,-1.35765333742886,-1.30456317059989,1.70188506608564
"53","hot","caliente",3.26169677453857,0.0240875417713993,2.23372528163082,1.31974413068535,1.29565658891395,1.67872599639614
"54","inside/in","en",3.16749780801358,-2.76616768423917,3.06661190941582,-1.49048002674349,1.27568765749568,1.62737899948681
"55","help","ayudar",4.230951677816,-2.31781062494141,3.35933290305163,-1.07174924862628,1.24606137631513,1.55266895354435
"56","eye","ojos",4.42267195615534,1.02676302166557,3.30687810376416,2.2600606140422,1.23329759237663,1.521022951362
"57","egg","huevo",3.19246375931761,0.629893395370338,3.12775516700118,-0.596947033272928,-1.22684042864327,1.50513743735359
"58","dog","perro",1.82605675614911,1.28405952703695,1.92908538418314,2.49484220799554,1.21078268095859,1.46599470050927
"59","head","cabeza",4.54592336512564,0.768864868335455,4.14213302540382,-0.425579828266133,-1.19444469660159,1.42669813323966
"60","frog","rana",3.18510183251586,-1.84745778286601,3.46631435441028,-0.679530109040083,1.16792767382593,1.36405505128844
"61","juice","jugo",2.877798258709,0.351869018186286,2.41578894812904,1.50737866485613,1.15550964666984,1.33520254354706
"62","money","dinero",3.66861069113512,-0.124194436673068,3.04117273727048,-1.2680466180487,-1.14385218137563,1.30839781283779
"63","for","para",3.76216108249496,-3.74475732324521,3.75705080067186,-4.87868882155746,-1.13393149831225,1.28580064286467
"64","bye","adíos/byebye",2.10820714514345,2.01562413269635,2.00266576002065,3.13088369676654,1.11525956407019,1.24380389525002
"65","radio","radio",3.89110418377434,-1.91685568727705,2.82980370461101,-3.03152675871644,-1.11467107143939,1.24249159750383
"66","cereal","cereal",2.36516183395139,-1.67311333960405,3.12637182927941,-0.573832031099297,1.09928130850475,1.20841939522791
"67","push","empujar",3.92159065298899,-3.12635851418251,3.32836766374649,-2.03187789457847,1.09448061960404,1.19788782668885
"68","shoe","zapato",2.98518485788916,2.03383495748642,3.59192039208785,3.12188516680449,1.08805020931808,1.18385325799711
"69","flower","flor",3.86610863782786,-0.721185380612784,3.51096636687053,0.349139215625299,1.07032459623808,1.14559474131221
"70","choo choo","tutú",1.11008299861317,-0.519551450791725,1.99652650674647,0.548498277555357,1.06804972834708,1.14073022222228
"71","all gone","no hay",2.71457114444379,-0.293621421028949,2.14375536715999,0.762534573551156,1.0561559945801,1.11546548488749
"72","tiger","tigre",2.89261484100683,-2.46108108772646,2.94679060306049,-1.41657621264486,1.0445048750816,1.09099043406922
"73","home","casa",4.21507201555118,0.552566776700886,3.34359162882994,-0.490964803444475,-1.04353158014536,1.08895815876067
"74","who","quién",2.42601372266547,-1.9398542890968,2.49611280235306,-2.98247974540855,-1.04262545631175,1.08706784214928
"75","dirty","sucio",3.92019323988616,-1.74855824091043,3.38156485397525,-0.743588816750091,1.00496942416034,1.00996354349717
"76","dark","oscuro",3.47595867509535,-3.75482341826512,3.38624508543672,-2.75967051054834,0.995152907716775,0.990329309737152
"77","mouth","boca",4.58104765423575,1.44685558278286,3.62601386708988,0.452037697545126,-0.994817885237732,0.989662624788873
"78","kiss","besar",3.33374660836503,-1.15217979353247,3.419307847667,-0.169448161249428,0.982731632283039,0.965761461089686
"79","bath","baño",4.60929496020782,0.495904958767294,2.80669111947269,1.45467078900462,0.958765830237325,0.919231917230667
"80","chicken (animal)","pollito",2.59166225923955,-0.0719115509306782,3.21343034156508,-1.02549416009971,-0.953582609169034,0.909319792509623
"81","me","me",1.75343304317258,-1.31214102965919,2.01366827613567,-0.366687636111653,0.945453393547541,0.893882119370562
"82","rock","piedra",4.03675226173828,-1.49449058830867,3.1648990178883,-0.551162108317286,0.94332847999138,0.889868621162848
"83","mommy*","mamá",1.64004404231306,3.30950179224594,1.90832876968102,4.23321315874318,0.92371136649724,0.853242688596198
"84","them","ellas",3.43016853207682,-4.49033200248412,3.2613974857665,-5.4005060347849,-0.910174032300782,0.828416769074665
"85","bed","cama",5.40764574111177,1.03287170742573,4.34292116832457,0.142082808758941,-0.890788898666786,0.793504861987986
"86","hurt","lastimar(se)",3.24503295645292,-3.04653525038044,3.56380688765165,-2.17145407617328,0.875081174207161,0.765767061451784
"87","write","escribir",3.47355462892139,-2.32668525195826,3.16256517358133,-3.17245587830643,-0.845770626348177,0.715327952393388
"88","ice cream","helado/nieve",3.15765124226295,-1.44816009346192,3.63559865964528,-0.607126255191705,0.841033838270216,0.707337917115533
"89","monkey","mono",2.28161847611371,-1.15980187919585,3.5920649165376,-0.327854145737936,0.831947733457911,0.692137031205755
"90","new","nuevo",4.40881780577131,-3.76605208385141,3.94588033150649,-4.59127457346376,-0.825222489612344,0.680992157361995
"91","yes","sí",1.95291440586553,1.91299020573648,2.1023876871856,1.09089529578614,-0.822094909950333,0.675840040966246
"92","chair","silla",4.91569998194731,0.914340052389435,4.38834316350617,0.106383204670395,-0.80795684771904,0.652794267776089
"93","sit","sentar(se)",3.40813140283975,-1.27320128295997,2.982264398083,-0.513833736284379,0.759367546675591,0.576639070944106
"94","kick","patear",3.52053112497315,-2.68919917058186,3.35299094668867,-1.93303436786103,0.756164802720825,0.571785208873825
"95","car","carro/coche",2.62969228231329,1.1840226970216,3.05210185395065,1.92104155750427,0.73701886048267,0.543196800707174
"96","night","noche",2.94593648533485,-2.26102433211696,2.59075621711652,-1.53602016285425,0.725004169262709,0.52563104544831
"97","meow","miau",1.54084741996461,0.913843493821572,2.0106404215868,1.61499505819603,0.701151564374455,0.491613516224745
"98","necklace","collar",3.36907480404759,-2.99296242414996,3.02106604659598,-2.29390001013977,0.699062414010184,0.488688258681746
"99","kitchen","cocina",5.09507974778157,-1.84532696624058,4.9321997145136,-2.54112920082387,-0.695802234583293,0.484140749651105
"100","lady","señora",4.01187236125991,-2.38688503055458,2.72814947843531,-3.07554574622689,-0.688660715672307,0.474253581310294
"101","woof woof","guaguá",1.37047715150438,2.24971656601554,1.46141353875991,1.59559948689668,-0.654117079118866,0.427869153194997
"102","hi","hola",1.94305144742888,1.22702931785511,1.44904702198302,1.84523592205666,0.618206604201549,0.382179405478411
"103","pattycake","tortillitas",1.8056228913545,-0.779049035344057,1.94059630693129,-1.39536960427353,-0.616320568929476,0.379851043685552
"104","wait","esperar(se)",3.60241105508027,-3.33532093312439,3.02162065784863,-2.72263039334453,0.612690539779859,0.375389697535735
"105","plant","planta",3.89004700719437,-2.22106139467176,3.11526972247394,-2.80440610981681,-0.583344715145049,0.340291056687659
"106","milk","leche",2.32477355910837,1.97741631507461,2.84394002019107,1.40800237538779,-0.569413939686817,0.324232234709662
"107","ouch","¡ay!",0.939434691334584,1.61336559560463,1.71961518067512,1.05626369662123,-0.5571018989834,0.31036252585091
"108","cow","vaca",2.70207635791299,-0.0345419537053056,3.05484113047188,0.50568530081697,0.540227254522275,0.291845486528675
"109","a","un",2.41792670918486,-1.81392835280284,2.25171605099005,-2.33104384062288,-0.51711548782004,0.267408427743358
"110","see","ver(se)",2.57745506479105,-1.29697683505135,2.54609156769798,-0.786763416072335,0.510213418979015,0.260317732906256
"111","arm","brazo",3.76391932053142,-1.23428851774883,4.38824577956811,-0.732162066572183,0.502126451176651,0.252130972971258
"112","break","romper",3.80016987241258,-2.10785349815017,3.98249467884923,-2.60570968332284,-0.497856185172668,0.247860781114682
"113","spoon","cuchara",4.1695195902242,0.0414140143310038,3.41934681151858,0.536550542074915,0.495136527743911,0.245160181106297
"114","more","más",1.8910685582523,0.922985071669107,2.00314841490583,0.42960475257794,-0.493380319091166,0.243424139266501
"115","teddybear","osito",3.01788813457968,-0.22135799082381,2.2172389356827,-0.702749448872077,-0.481391458048266,0.231737735881836
"116","TV","televisión",3.72771486207727,0.0436349157751599,3.28433514430965,-0.430784835996954,-0.474419751772114,0.225074100871514
"117","look","mirar",1.79042611444543,-1.01887094623919,2.98989341557714,-1.49206132204368,-0.473190375804482,0.223909131753987
"118","play","jugar",4.16235980721659,-0.872009320744424,4.19412227297213,-1.32296594943159,-0.450956628687164,0.203361880956893
"119","fast","rápido (descriptive)",3.6423619080095,-2.92147027178901,4.1349812708915,-3.36723053458607,-0.445760262797059,0.198702211888903
"120","church*","iglesia/templo",2.90457498082847,-2.33661093514021,1.82168159208833,-1.93130554783599,0.405305387304222,0.164272456977826
"121","jump","brincar",3.89540556245453,-1.01925224993475,3.87286149420708,-1.40473858683159,-0.385486336896833,0.148599715934139
"122","rain","lluvia",3.60472639446582,-1.34596885513514,4.28544493891944,-0.961413783367056,0.384555071768088,0.147882603222559
"123","cookie","galleta",2.94990261321746,1.20684141984914,2.91775889381341,1.56197569927557,0.355134279426424,0.126120356423725
"124","keys","llave",4.14218114552544,-0.260676617893008,1.73111041041504,0.0762584953002571,0.336935113193265,0.113525270502559
"125","pants","pantalón",4.42876888082064,-0.623435220880194,4.24876609414221,-0.953932866364753,-0.330497645484558,0.109228693670837
"126","tooth","dientes",4.67318254075224,0.0107271426302607,2.82347918324878,-0.294613709649585,-0.305340852279846,0.0932330360709825
"127","mine","mío",2.24602494198438,0.599161624113185,2.04292452095035,0.317068608632326,-0.282093015480859,0.0795764693830841
"128","moon","luna",3.01780937588547,-0.185551686887444,2.43336342042769,0.0888579246445614,0.274409611532005,0.0753006349011459
"129","now","ahorita/ahora",2.80079188076021,-1.93195012841277,2.7962779045371,-2.20593067809591,-0.273980549683131,0.0750653416046708
"130","tired","cansado",3.67356014391864,-3.0952597991654,4.16680215449832,-3.35668391644131,-0.261424117275911,0.0683425690934893
"131","away","lejos",2.87521019246597,-2.79398947666798,2.97990371032914,-3.05359705724894,-0.259607580580959,0.067396095895099
"132","pretty","bonita",3.56218880524424,-1.46038247429449,2.25164602080628,-1.21622563023742,0.244156844057075,0.0596125644999108
"133","grandma*","abuela",1.85859097131892,1.05688653257763,2.11465767453417,1.29396682662591,0.237080294048283,0.0562070658260203
"134","eat","comer(se)",3.09547092822007,0.213219888463635,3.46536572643322,0.435326015832231,0.222106127368595,0.0493311318146747
"135","cat","gato",2.71364311391131,1.04616480029707,2.03913787996572,1.26780485916199,0.221640058864922,0.0491243156936462
"136","sky","cielo",3.86586471998944,-1.36629372911911,2.88353452916402,-1.58687982320839,-0.220586094089277,0.0486582249055636
"137","broom","escoba",4.64345520185514,-1.0674393754398,2.72414260269412,-1.27150766187761,-0.204068286437809,0.0416438655296635
"138","bottle","botella/mamila",2.25947416668678,0.602083422955705,1.6324937139773,0.805843462562517,0.203760039606812,0.0415181537405697
"139","baby","bebé",2.24745424148638,2.1467483259623,2.44069189049768,2.33622261333321,0.189474287370918,0.0359005055747172
"140","wanna/want to","querer",3.60798017520447,-1.89391250195353,2.46482180830243,-1.7274988197623,0.166413682191227,0.0276935136204426
"141","shh/shush/hush","shhh",1.17814093839298,0.44319981649109,1.73190081120081,0.605363009758686,0.162163193267595,0.0262969012507435
"142","lion","león",3.08963626766214,-1.27628778568426,3.3166629715471,-1.11793532128899,0.158352464395271,0.0250755029800554
"143","yum yum","¡am!",0.450654160935516,0.687289032935316,0.996745759409611,0.809799079970875,0.122510047035559,0.015008711624655
"144","lamp","lámpara",4.22361807015348,-3.38561393523337,2.94201414546465,-3.27870375227497,0.106910182958397,0.011429787220198
"145","this","éste",1.82254660725351,-0.850390755710146,1.59458052621909,-0.930721164886056,-0.0803304091759102,0.00645297463836915
"146","cockadoodledoo","quiquiriquí",1.61048280929977,-1.18942944890772,1.65935973345854,-1.11666984126315,0.0727596076445665,0.00529396050459125
"147","sock","calcetín",3.26151491342549,0.164233756334941,2.01014462321798,0.234996977262172,0.0707632209272314,0.00500743343599616
"148","train","tren",2.61797429212329,-0.157961227616923,3.51453121447793,-0.0989742015874407,0.0589870260294824,0.00347946923980284
"149","leg","piernas",4.49019316791597,-1.63905472519967,4.86251545640967,-1.69296445789028,-0.0539097326906142,0.00290625927877347
"150","mouse","ratón",3.33065520737927,-1.09743900411384,3.28359157504646,-1.12894912774985,-0.0315101236360071,0.000992887891556456
"151","sink","lavabo",3.48101209794042,-3.1330601052439,4.26864171637792,-3.14941313125969,-0.0163530260157936,0.000267421459873222
"152","where","dónde",2.5461223229297,-1.956640887966,2.54493778107796,-1.94703962202266,0.00960126594333821,9.21843077147062e-05
"153","stroller","carreola",2.41160046495316,-1.84907450134318,2.6142765961238,-1.84101257084479,0.0080619304983971,6.49947233609853e-05
"154","doll","muñeca",2.58541429610593,-0.29538921299498,2.10576868015968,-0.299796146690809,-0.00440693369582879,1.94210645994312e-05
