English Word,Spanish Word,English Word Origin,Spanish Word Origin,Spanish Alternative Translations (experimenter or MCDI)
baa baa,bee/mee (baa),English Level 1 Long Form,Spanish Level 1 Long Form,
moo,muu (cow sound),English Level 1 Long Form,Spanish Level 1 Long Form,
quack quack,cuacuá (quack quack) (duck sound),English Level 1 Long Form,Spanish Level 1 Long Form,cuacuá / cuac-cuac (quack quack)
vroom,pipi (coche) (honk honk),English Level 1 Long Form,Spanish Level 1 Long Form,
bear,oso (bear),English Level 1 Long Form,Spanish Level 1 Long Form,
bunny,conejo (rabbit),English Level 1 Long Form,Spanish Level 1 Long Form,
horse,caballo (horse),English Level 1 Long Form,Spanish Level 1 Long Form,
airplane,avión (plane),English Level 1 Long Form,Spanish Level 1 Long Form,
bicycle,bicicleta (bicycle),English Level 1 Long Form,Spanish Level 1 Long Form,bicicleta / bici (bicycle)
balloon,globo/bomba (balloon),English Level 1 Long Form,Spanish Level 1 Long Form,
pen,lápiz (pen/pencil),English Level 1 Long Form,Spanish Level 1 Long Form,
toy,juguete (toy),English Level 1 Long Form,Spanish Level 1 Long Form,
apple,manzana (apple),English Level 1 Long Form,Spanish Level 1 Long Form,
banana,plátano/banana,English Level 1 Long Form,Spanish Level 1 Long Form,plátano/banana / cambur (banana)
cake,pastel (cake),English Level 1 Long Form,Spanish Level 1 Long Form,pastel / tarta / torta / bizcocho / queque (cake)
cheese,queso (cheese),English Level 1 Long Form,Spanish Level 1 Long Form,
chicken (food),pollo (chicken),English Level 1 Long Form,Spanish Level 1 Long Form,
bib,babero (bib),English Level 1 Long Form,Spanish Level 1 Long Form,
button,botón (button),English Level 1 Long Form,Spanish Level 1 Long Form,
diaper,pañal (diaper),English Level 1 Long Form,Spanish Level 1 Long Form,pañal / pamper (diaper)
dress,vestido (dress),English Level 1 Long Form,Spanish Level 1 Long Form,
pajamas,pijama (pajamas),English Level 1 Long Form,Spanish Level 1 Long Form,
shirt,playera (T-shirt),English Level 1 Long Form,Spanish Level 1 Long Form,playera / camisa  / remera / polera (shirt)
belly button,ombligo (belly button),English Level 1 Long Form,Spanish Level 1 Long Form,
ear,orejas (ears),English Level 1 Long Form,Spanish Level 1 Long Form,
face,cara (face),English Level 1 Long Form,Spanish Level 1 Long Form,
foot,pies (feet),English Level 1 Long Form,Spanish Level 1 Long Form,
finger,dedos (fingers),English Level 1 Long Form,Spanish Level 1 Long Form,
hair,pelo (hair),English Level 1 Long Form,Spanish Level 1 Long Form,pelo / cabello (hair)
tongue,lengua (tongue),English Level 1 Long Form,Spanish Level 1 Long Form,
