English Word,Spanish Word,English Word Origin,Spanish Word Origin,Spanish Alternative Translations (experimenter or MCDI)
quack quack,cuacuá (quack quack),English Level 2 Long Form,Spanish Level 2 Long Form,cuacuá / cuac-cuac (quack quack)
vroom,pipi (coche) (beep beep) (car sound),English Level 2 Long Form,Spanish Level 2 Long Form,
yum yum,¡am! (Om nom; yummy),English Level 2 Long Form,Spanish Level 2 Long Form,
ant,hormiga (ant),English Level 2 Long Form,Spanish Level 2 Long Form,
bee,abeja (bee),English Level 2 Long Form,Spanish Level 2 Long Form,
bug,bicho (bug),English Level 2 Long Form,Spanish Level 2 Long Form,bicho/ insecto (bug)
bunny,conejo (rabbit),English Level 2 Long Form,Spanish Level 2 Long Form,
butterfly,mariposa (butterfly),English Level 2 Long Form,Spanish Level 2 Long Form,
lion,león (lion),English Level 2 Long Form,Spanish Level 2 Long Form,
monkey,mono (monkey),English Level 2 Long Form,Spanish Level 2 Long Form,mono / mico (monkey)
teddy bear,osito (teddy bear),English Level 2 Long Form,Spanish Level 2 Long Form,osito/osito de peluche
bicycle,bicicleta (bicycle),English Level 2 Long Form,Spanish Level 2 Long Form,bicicleta / bici (bicycle)
motorcycle,moto (motorcycle),English Level 2 Long Form,Spanish Level 2 Long Form,moto / motocicleta (motorcycle)
train,tren (train),English Level 2 Long Form,Spanish Level 2 Long Form,
balloon,globo/bomba (balloon),English Level 2 Long Form,Spanish Level 2 Long Form,
bubbles,burbujas (bubbles),English Level 2 Long Form,Spanish Level 2 Long Form,
doll,muñeca (doll),English Level 2 Long Form,Spanish Level 2 Long Form,
pencil,lápiz (pencil),English Level 2 Long Form,Spanish Level 2 Long Form,
apple,manzana (apple),English Level 2 Long Form,Spanish Level 2 Long Form,
beans,"frijoles (Mexico)
judias (other terms for it, Spain)",English Level 2 Long Form,Spanish Level 2 Long Form,"frijoles / porotos / alubias / habichuela / judias, caraotas (beans)"
bread,pan (bread),English Level 2 Long Form,Spanish Level 2 Long Form,
cake,pastel (cake),English Level 2 Long Form,Spanish Level 2 Long Form,pastel/ tarta / torta / bizcocho / queque (cake)
cereal,cereal (cereal),English Level 2 Long Form,Spanish Level 2 Long Form,
cheese,queso (cheese),English Level 2 Long Form,Spanish Level 2 Long Form,
chicken (food),pollo (chicken) (food),English Level 2 Long Form,Spanish Level 2 Long Form,
chocolate,chocolate (chocolate),English Level 2 Long Form,Spanish Level 2 Long Form,
coffee,café (coffee),English Level 2 Long Form,Spanish Level 2 Long Form,
cookie,galleta (cookie),English Level 2 Long Form,Spanish Level 2 Long Form,
corn,elote (corn),English Level 2 Long Form,Spanish Level 2 Long Form,elote / maiz / choclo (corn)
french fries,papitas (french fries),English Level 2 Long Form,Spanish Level 2 Long Form,
grapes,uvas (grapes),English Level 2 Long Form,Spanish Level 2 Long Form,
ice,hielo (ice),English Level 2 Long Form,Spanish Level 2 Long Form,
ice cream,helado/nieve (ice cream),English Level 2 Long Form,Spanish Level 2 Long Form,
orange,naranja (orange),English Level 2 Long Form,Spanish Level 2 Long Form,
popcorn,palomitas (popcorn),English Level 2 Long Form,Spanish Level 2 Long Form,palomitas (popcorn) / pochoclo / cabritas / palomitas de maiz / rosetas / cotufas / pipoca
raisin,pasas (raisins),English Level 2 Long Form,Spanish Level 2 Long Form,
soda/pop,soda/refresco (soda/pop),English Level 2 Long Form,Spanish Level 2 Long Form,soda / refresco / gaseosa (soda/pop)
soup,sopa (soup),English Level 2 Long Form,Spanish Level 2 Long Form,
spaghetti,espagueti (spaghetti),English Level 2 Long Form,Spanish Level 2 Long Form,espagueti/ pasta
strawberry,fresa (strawberrry),English Level 2 Long Form,Spanish Level 2 Long Form,fresa / frutilla (strawberry)
water,agua (food),English Level 2 Long Form,Spanish Level 2 Long Form,
yogurt,yoghurt (yogurt),English Level 2 Long Form,Spanish Level 2 Long Form,
bib,babero (bib),English Level 2 Long Form,Spanish Level 2 Long Form,
button,botón (button),English Level 2 Long Form,Spanish Level 2 Long Form,
coat,abrigo (coat),English Level 2 Long Form,Spanish Level 2 Long Form,
diaper,pañal (diaper),English Level 2 Long Form,Spanish Level 2 Long Form,
dress,vestido (dress),English Level 2 Long Form,Spanish Level 2 Long Form,
sweater,suéter (sweater),English Level 2 Long Form,Spanish Level 2 Long Form,sueter/ chaleco/ chaleca/ jersey
belly button,ombligo (belly button),English Level 2 Long Form,Spanish Level 2 Long Form,
buttocks/bottom (or word used in your family),nalgas (butt) (or word used in your family),English Level 2 Long Form,Spanish Level 2 Long Form,
cheek,cachete (cheek),English Level 2 Long Form,Spanish Level 2 Long Form,cachete / mejilla (cheek)
eye,ojos (eyes),English Level 2 Long Form,Spanish Level 2 Long Form,
face,cara (face),English Level 2 Long Form,Spanish Level 2 Long Form,
feet,pies (feet),English Level 2 Long Form,Spanish Level 2 Long Form,
finger,dedo (finger),English Level 2 Long Form,Spanish Level 2 Long Form,
hair,pelo (hair),English Level 2 Long Form,Spanish Level 2 Long Form,pelo / cabello (hair)
head,cabeza (head),English Level 2 Long Form,Spanish Level 2 Long Form,
knee,rodilla (knee),English Level 2 Long Form,Spanish Level 2 Long Form,
mouth,boca (mouth),English Level 2 Long Form,Spanish Level 2 Long Form,
nose,nariz (nose),English Level 2 Long Form,Spanish Level 2 Long Form,
penis (or word used in your family),pene (penis) (o la palabra que use su familia para esto),English Level 2 Long Form,Spanish Level 2 Long Form,
tooth,dientes (teeth),English Level 2 Long Form,Spanish Level 2 Long Form,
tongue,lengua (tongue),English Level 2 Long Form,Spanish Level 2 Long Form,
tummy,panza (tummy),English Level 2 Long Form,Spanish Level 2 Long Form,panza/ barriga / estomago (tummy)
couch,sillón (armchair),English Level 2 Long Form,Spanish Level 2 Long Form,
bathtub,tina (bathtub),English Level 2 Long Form,Spanish Level 2 Long Form,tina / bañera / bañadera (bathtub)
chair,silla (chair),English Level 2 Long Form,Spanish Level 2 Long Form,
crib,cuna (crib),English Level 2 Long Form,Spanish Level 2 Long Form,
kitchen,cocina (kitchen),English Level 2 Long Form,Spanish Level 2 Long Form,
potty,bacinica (potty),English Level 2 Long Form,Spanish Level 2 Long Form,bacinica / bacenica / orinal / pelela / sanitario / inodoro (potty)
room,cuarto (room),English Level 2 Long Form,Spanish Level 2 Long Form,
stove,estufa (stove),English Level 2 Long Form,Spanish Level 2 Long Form,
table,mesa (table),English Level 2 Long Form,Spanish Level 2 Long Form,
window,ventana (window),English Level 2 Long Form,Spanish Level 2 Long Form,
blanket,cobija (blanket),English Level 2 Long Form,Spanish Level 2 Long Form,cobija / manta / frazada / colcha (blanket)
box,caja (box),English Level 2 Long Form,Spanish Level 2 Long Form,
brush,cepillo (brush),English Level 2 Long Form,Spanish Level 2 Long Form,
clock/watch,reloj (clock/watch),English Level 2 Long Form,Spanish Level 2 Long Form,
cup,taza (cup),English Level 2 Long Form,Spanish Level 2 Long Form,taza / tazón (cup)
glasses,lentes,English Level 2 Long Form,Spanish Level 2 Long Form,
keys,llave (key),English Level 2 Long Form,Spanish Level 2 Long Form,
medicine,medicina (medicine),English Level 2 Long Form,Spanish Level 2 Long Form,medicina / remedio (medicine)
money,dinero (money),English Level 2 Long Form,Spanish Level 2 Long Form,
paper,papel (paper),English Level 2 Long Form,Spanish Level 2 Long Form,
"picture (""or photo"")",fotos (photos),English Level 2 Long Form,Spanish Level 2 Long Form,
pillow,almohada (pillow),English Level 2 Long Form,Spanish Level 2 Long Form,almohada / cojín (pillow)
plant,planta,English Level 2 Long Form,Spanish Level 2 Long Form,
purse,bolsa (purse),English Level 2 Long Form,Spanish Level 2 Long Form,bolsa / cartera (purse)
spoon,cuchara (spoon),English Level 2 Long Form,Spanish Level 2 Long Form,
telephone,teléfono (telephone),English Level 2 Long Form,Spanish Level 2 Long Form,
cloud,nube (cloud),English Level 2 Long Form,Spanish Level 2 Long Form,
grass,pasto (pasture),English Level 2 Long Form,Spanish Level 2 Long Form,
moon,luna (moon),English Level 2 Long Form,Spanish Level 2 Long Form,
rock,piedra (stone),English Level 2 Long Form,Spanish Level 2 Long Form,
stick,palo (stick),English Level 2 Long Form,Spanish Level 2 Long Form,
tree,árbol (tree),English Level 2 Long Form,Spanish Level 2 Long Form,
house,casa (home/house),English Level 2 Long Form,Spanish Level 2 Long Form,"house/home, casa/hogar"
park,parque (park),English Level 2 Long Form,Spanish Level 2 Long Form,
store,tienda/mercado (store/market),English Level 2 Long Form,Spanish Level 2 Long Form,
baby,bebé (baby),English Level 2 Long Form,Spanish Level 2 Long Form,
daddy (or name/word used in your family),papá (daddy),English Level 2 Long Form,Spanish Level 2 Long Form,
girl,niña (girl),English Level 2 Long Form,Spanish Level 2 Long Form,
lady,señora (lady),English Level 2 Long Form,Spanish Level 2 Long Form,
man,señor (man),English Level 2 Long Form,Spanish Level 2 Long Form,
patty cake,tortillitas (little tortilla),English Level 2 Long Form,Spanish Level 2 Long Form,
shh/shush/hush,shh (shh),English Level 2 Long Form,Spanish Level 2 Long Form,
Blow,soplar (to blow),English Level 2 Long Form,Spanish Level 2 Long Form,soplar/aventar
Close,cerrar (to close),English Level 2 Long Form,Spanish Level 2 Long Form,
Cry,llorar (to cry),English Level 2 Long Form,Spanish Level 2 Long Form,
Dance,bailar (to dance),English Level 2 Long Form,Spanish Level 2 Long Form,
Drink,tomar(se) (to drink),English Level 2 Long Form,Spanish Level 2 Long Form,
Eat,comer(se) (to eat),English Level 2 Long Form,Spanish Level 2 Long Form,
Go,ir(se) (to go),English Level 2 Long Form,Spanish Level 2 Long Form,
Help,ayudar (to help),English Level 2 Long Form,Spanish Level 2 Long Form,
Hit,pegar(se) (to hit),English Level 2 Long Form,Spanish Level 2 Long Form,pegar(se) / golpear (to hit)
Kick,patear (to kick),English Level 2 Long Form,Spanish Level 2 Long Form,
Open,abrir (to open),English Level 2 Long Form,Spanish Level 2 Long Form,
Run,correr (to run),English Level 2 Long Form,Spanish Level 2 Long Form,
See,ver(se) (to see),English Level 2 Long Form,Spanish Level 2 Long Form,
Sing,cantar (to sing),English Level 2 Long Form,Spanish Level 2 Long Form,
Tickle,cosquillitas,English Level 2 Long Form,Spanish Level 2 Long Form,
Touch,tocar (to touch),English Level 2 Long Form,Spanish Level 2 Long Form,
Walk,"caminar (to walk)
",English Level 2 Long Form,Spanish Level 2 Long Form,caminar/andar
Wash,lavar(se) (to wash),English Level 2 Long Form,Spanish Level 2 Long Form,
Good,bueno (good),English Level 2 Long Form,Spanish Level 2 Long Form,
Hungry,hambre (hungry),English Level 2 Long Form,Spanish Level 2 Long Form,
Yucky,fuchi (yucky),English Level 2 Long Form,Spanish Level 2 Long Form,fuchi / cochino / asco / école (yucky)
I,yo (I),English Level 2 Long Form,Spanish Level 2 Long Form,
that,eso (that),English Level 2 Long Form,Spanish Level 2 Long Form,esa/ese/eso (that)
you,tú (you),English Level 2 Long Form,Spanish Level 2 Long Form,tí/tú/te (you)
What,qué (what),English Level 2 Long Form,Spanish Level 2 Long Form,
