English Word,Spanish Word,English Word Origin,Spanish Word Origin,Notes,George IRT Analyses Removals,George IRT Analyses Additions,Additional IRT Analyses Comments
ouch,¡ay! (Ow; jeez; oh dear),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
woof woof,guaguá (woof woof) (dog sound),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
cat,gato (cat),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
duck,pato (duck),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
car,carro/coche (car),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
ball,pelota (ball),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
book,libro (book),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
meat,carne (meat),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
milk,leche (milk),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
peas,chícharo (peas),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
shoe,zapatos (shoes),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
hand,mano (hand),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
bed,cama (bed),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
broom,escoba (broom),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
party,fiesta (party),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
mommy,mamá (mommy),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
bye,adiós/bye bye (bye),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
no,no (no),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
Rain,llover (to rain),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
Hot,caliente (hot),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
our,nuestro (our),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
this,ésta (this),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
Where,dónde (where),English Level 2 Short Form A,Spanish Level 2 Short Form,,,,
baa baa,bee/mee (baa) (sheep sound),English Level 2 Short Form A,Spanish Level 2 Long Form,,REMOVED BEE/MEE (BAA BAA) FROM DLL-ES LEVEL 2,ADDED SENOR (MAN),
meow,X,English Level 2 Short Form A,Spanish Level 2 Long Form,"Original meow is included from MCDI short form for administration purposes, but we did not include spanish equivalent from Spanish long form ""miau"" for the DLL-ES short form supplement because there is no way to distinguish the two sounds in the two languages",,,
uh oh,X,English Level 2 Short Form A,X,"Original uh oh is included from MCDI short form for administration purposes, but we did not include spanish equivalent from ""oh oh"" for the DLL-ES short form supplement because there is no way to distinguish the two sounds in the two languages",,,
bear,oso (bear),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
bird,pájaro (bird),English Level 2 Short Form A,Spanish Level 2 Long Form,,REMOVED PAJARO (BIRD) FROM DLL-ES LEVEL 2,ADDED PIES (FOOT),
