English Word,Spanish Word,English Word Origin,Spanish Word Origin,Notes,George IRT Analyses Removals,George IRT Analyses Additions,Additional IRT Analyses Comments
dog,perro (dog),English Level 2 Short Form A,Spanish Level 2 Long Form,,REMOVED PERRO (DOG) FROM DLL-ES LEVEL 2,ADDED REFRIGERADOR (REFRIGERATOR),
horse,caballo (horse),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
airplane,avión (airplane),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
boat,barco (boat),English Level 2 Short Form A,Spanish Level 2 Long Form,,REMOVED BARCO (BOAT) FROM DLL-ES LEVEL 2,ADDED VESTIDO (DRESS),
game,juegos (games),English Level 2 Short Form A,Experimenter Translation,,,,
applesauce,el puré de manzana,English Level 2 Short Form A,Experimenter Translation,,,,
candy,dulce (candy),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
coke,coca (coke),English Level 2 Short Form A,Experimenter Translation,,,,
cracker,la galleta salada,English Level 2 Short Form A,Experimenter Translation,,,,
juice,jugo (juice),English Level 2 Short Form A,Spanish Level 2 Long Form,,REMOVED JUGO (JUICE) FROM DLL-ES LEVEL 2,ADDED ANIMAL,
hat,sombrero (hat),English Level 2 Short Form A,Spanish Level 2 Long Form,,REMOVED SOMBRERO (HAT) FROM DLL-ES LEVEL 2,ADDED TV,
necklace,collar (necklace),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
sock,calcetín (sock),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
chin,mentón (chin),English Level 2 Short Form A,Experimenter Translation,,,,
ear,oreja (ear),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
leg,piernas (legs),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
bedroom,recámara (bedroom),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
bench,banco (bench),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
oven,horno (oven),English Level 2 Short Form A,Spanish Level 2 Long Form,,REMOVED HORNO (OVEN) FROM DLL-ES LEVEL 2,ADDED MEDICINA (MEDICINE),
stairs,escaleras (stairs),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
comb,peine (comb),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
mop,trapeador (mop),English Level 2 Short Form A,Experimenter Translation,,,,
plate,plato (plate/dish),English Level 2 Short Form A,Spanish Level 2 Long Form,,REMOVED PLATO (PLATE/DISH) FROM DLL-ES LEVEL 2,ADDED HORMIGA (ANT),
towel,toalla (towel),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
trash,basura (trash),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
tray,bandeja (tray),English Level 2 Short Form A,Experimenter Translation,,,,
flag,bandera (flag),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
sky,cielo (sky),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
star,estrella (star),English Level 2 Short Form A,Spanish Level 2 Long Form,,REMOVED ESTRELLA (STAR) FROM DLL-ES LEVEL 2,ADDED COCINA (KITCHEN),
swing,columpio (swing),English Level 2 Short Form A,Spanish Level 2 Long Form,,REMOVED COLUMPIO (SWING) FROM DLL-ES LEVEL 2,ADDED NUBE (CLOUD),
school,escuela (school),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
friend,amiga (friend),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
person,persona (person),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
hi,hola (hi/hello),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
shopping,ir de compras,English Level 2 Short Form A,Experimenter Translation,,,,
thank you,gracias (thank you),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
Carry,llevar (to carry),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
Chase,perseguir (to chase),English Level 2 Short Form A,Experimenter Translation,,,,
Dump,tirar (to dump),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
Finish,acabar/terminar (to finish),English Level 2 Short Form A,Spanish Level 2 Long Form,,REMOVED ACABAR (TO FINISH) FROM DLL-ES LEVEL 2,ADDED LLORAR (CRY),
Fit,caber (to fit),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
Hug,abrazar (to hug),English Level 2 Short Form A,Experimenter Translation,,,,
Like,gustar (to like),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
Listen,escuchar (to listen),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
Pretend,fingir (to pretend),English Level 2 Short Form A,Experimenter Translation,,,,
Rip,rasgar (to rip),English Level 2 Short Form A,Experimenter Translation,,,,
Shake,agitar (to shake),English Level 2 Short Form A,Experimenter Translation,,,,
Taste,probar (to taste),English Level 2 Short Form A,Experimenter Translation,,,,
Think,pensar (to think),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
Wish,desear (to wish),English Level 2 Short Form A,Experimenter Translation,,,,
All gone,no más (all gone),English Level 2 Short Form A,Experimenter Translation,,,,
Cold,frío (cold),English Level 2 Short Form A,Spanish Level 2 Long Form,,REMOVED FRIO (COLD) FROM DLL-ES LEVEL 2,ADDED HAMBRE (HUNGRY),
Fast,rápido (fast),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
Gentle,tierno (gentle),English Level 2 Short Form A,Experimenter Translation,,,,
Happy,feliz (happy),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
Last,último (last),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
Tiny,minúsculo (tiny),English Level 2 Short Form A,Experimenter Translation,,,,
Wet,mojado (wet),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
After,después (after),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
Day,día (day),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
Tonight,en la noche/esta noche (this night),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
them,ellos (them),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
us,nosotros (us),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
Beside,al lado de (beside),English Level 2 Short Form A,Experimenter Translation,,,,
Down,abajo (down),English Level 2 Short Form A,Spanish Level 2 Long Form,,REMOVED ABAJO (DOWN) FROM DLL-ES LEVEL 2,ADDED PODER (CAN),
Under,debajo (under),English Level 2 Short Form A,Experimenter Translation,,,,
All,todo (all),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
Much,mucho (much),English Level 2 Short Form A,Spanish Level 2 Long Form,,REMOVED MUCHO (MUCH) FROM DLL-ES LEVEL 2,ADDED MIO (MINE),
Could,puede,English Level 2 Short Form A,Experimenter Translation,,,,
Need/need to,necesitar (need),English Level 2 Short Form A,Experimenter Translation,,,,
Would,X,English Level 2 Short Form A,X,"Original would is included from MCDI short form for administration purposes, but we did not include spanish equivalent from for the DLL-ES short form supplement in English, ""would"" is classified as an auxiliary verb to indicate the conditional tense of a verb that comes after it. In Spanish, the conditional tense is expressed via verbal inflection.",,,
If,que (if),English Level 2 Short Form A,Spanish Level 2 Long Form,,,,
choo choo,tutú (choo choo) (train sound),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
cockadoodledoo,quiquiriqui (cockadoodledoo),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
X,muu (moo),English Level 2 Long Form,Spanish Level 2 Long Form,"Original muu is included from MCDI short form for administration purposes, but we did not include english equivalent with from English long form ""moo"" because there is no way to distinguish the two sounds in the two language",REMOVED MOO FROM DLL-ES LEVEL 2,ADDED MAN,Should have excluded from DLL-ES forms because of no phonetically different translation
cow,vaca (cow),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
frog,rana (frog),English Level 2 Long Form,Spanish Level 2 Short Form,,REMOVED FROG FROM DLL-ES LEVEL 2,ADDED ANT,
tiger,tigre (tiger),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
snake,víbora (snake),Experimenter Translation,Spanish Level 2 Short Form,,,,
truck,camión/troca (truck),English Level 2 Long Form,Spanish Level 2 Short Form,,REMOVED TRUCK FROM DLL-ES LEVEL 2,ADDED FOOT,
drum,tambor (drum),Experimenter Translation,Spanish Level 2 Short Form,,,,
banana,plátano/banana (banana),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
egg,huevo (egg),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
potato,papas (potatoes),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
pumpkin,calabaza (pumpkin),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
rice,arroz (rice),Experimenter Translation,Spanish Level 2 Short Form,,,,
pants,pantalón (pants),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
shirt,camisa (shirt),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
skirt,falda (skirt),Experimenter Translation,Spanish Level 2 Short Form,,,,
arm,brazo (arm),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
mustache,bigote (mustache),Experimenter Translation,Spanish Level 2 Short Form,,,,
bathroom,baño (bathroom),English Level 2 Long Form,Spanish Level 2 Short Form,,REMOVED BATHROOM FROM DLL-ES LEVEL 2,ADDED KITCHEN,
door,puerta (door),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
TV,televisión (television),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
bottle,botella/mamila (bottle),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
glass,vasos (glass),English Level 2 Long Form,Spanish Level 2 Short Form,,REMOVED GLASS FROM DLL-ES LEVEL 2,ADDED REFRIGERATOR,
light,luz (light),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
matches,cerillos (matches),Experimenter Translation,Spanish Level 2 Short Form,,,,
newspaper,periódico (newspaper),Experimenter Translation,Spanish Level 2 Short Form,,,,
pot,olla (pot),Experimenter Translation,Spanish Level 2 Short Form,,,,
soap,jabón (soap),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
bell,timbre (bell),Experimenter Translation,Spanish Level 2 Short Form,,,,
flower,flor (flower),English Level 2 Long Form,Spanish Level 2 Short Form,,REMOVED FLOWER FROM DLL-ES LEVEL 2,ADDED MEDICINE,
hose,manguera (hose),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
street,calle (street),English Level 2 Long Form,Spanish Level 2 Short Form,,REMOVED STREET FROM DLL-ES LEVEL 2,ADDED DRESS,
sun,sol (sun),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
church (or word used in your family),iglesia/templo (church),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
boy,niño (boy),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
clown,payaso (clown),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
godmother,madrina (godmother),Experimenter Translation,Spanish Level 2 Short Form,,,,
let's go,vámonos (let's go),Experimenter Translation,Spanish Level 2 Short Form,,,,
night night,buenas noches (good night),English Level 2 Long Form,Spanish Level 2 Short Form,,REMOVED GOODNIGHT FROM DLL-ES LEVEL 2,ADDED THANK YOU,Says removed good night but we have night night not good night
please,por favor (please),English Level 2 Long Form,Spanish Level 2 Short Form,,REMOVED PLEASE FROM DLL-ES LEVEL 2,ADDED SCHOOL,
yes,sí (yes),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
buy,comprar (to buy),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
do,hacer (to do),Experimenter Translation,Spanish Level 2 Short Form,,,,
fall,caer(se) (to fall),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
hear,oír (to hear),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
jump,saltar (to jump),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
kiss,besar (to kiss),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
know,saber (to know),Experimenter Translation,Spanish Level 2 Short Form,,,,
look,mirar (to look),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
play,jugar (to play),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
sit,sentar(se) (to sit),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
sleep,dormir(se) (to sleep),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
turn on,prender (to turn on),Experimenter Translation,Spanish Level 2 Short Form,,,,
win,ganar (to win),Experimenter Translation,Spanish Level 2 Short Form,,,,
to be,estar (to be),Experimenter Translation,Spanish Level 2 Short Form,,,,
"to be, there is",haber (hay) (there is),Experimenter Translation,Spanish Level 2 Short Form,,,,
bad,malo (bad),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
big,grande (big),English Level 2 Long Form,Spanish Level 2 Short Form,,REMOVED BIG FROM DLL-ES LEVEL 2,ADDED LITTLE,
broken,roto (broken),English Level 2 Long Form,Spanish Level 2 Short Form,,REMOVED BROKEN FROM DLL-ES LEVEL 2,ADDED HUNGRY,
dirty,sucio (dirty),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
new,nuevo (new),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
pretty,bonita (pretty),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
tired,cansado (tired),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
in the morning,en la mañana (in the morning),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
today,hoy (today),English Level 2 Long Form,Spanish Level 2 Short Form,,REMOVED TODAY FROM DLL-ES LEVEL 2,ADDED NOW,
hers,suya (his/hers),English Level 2 Long Form,Spanish Level 2 Short Form,,REMOVED HIS FROM DLL-ES LEVEL 2,ADDED CAN,
mine,mío (mine),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
how,cómo (how),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
who,quién (who),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
here,aquí (here),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
out,"afuera (out, outside)",English Level 2 Long Form,Spanish Level 2 Short Form,,REMOVED OUT FROM DLL-ES LEVEL 2,ADDED WHY,
the,la (the),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
to,a (to),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
more,más (more),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
none,no hay (none),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
Then,entonces (then),English Level 2 Long Form,Spanish Level 2 Short Form,,,,
,,,,,,,"Noche should not have been on DLL-ES short form supplements that was a typo, but for IRT word noche (night) was removed and added ahora/ahorita (now)"
,,,,,,,"Ombligo should not have been on DLL-ES short form supplements that was a typo, but for IRT ombligo (belly button) was removed and added animal (animal)"
