"","word","uni_lemma","d_diff_sq","en_d","sp_d","lexical_class"
"1","avión","airplane",0.0553900571811395,0.478147418952547,0.242796495476264,"nouns"
"2","basura","trash",1.56266815493101,-1.27938988702533,-0.029322626862496,"nouns"
"3","caballo","horse",0.113477842930342,0.315704950582931,0.652569675554754,"nouns"
"4","calcetín","sock",0.00500743343599616,0.234996977262172,0.164233756334941,"nouns"
"5","cielo","sky",0.0486582249055636,-1.58687982320839,-1.36629372911911,"nouns"
"6","collar","necklace",0.488688258681746,-2.29390001013977,-2.99296242414996,"nouns"
"7","día","day",1.658244492913,-3.75937900670359,-2.47165058311692,"other"
"8","escaleras","stairs",0.0781461153268323,-2.11521765901236,-1.83567139213185,"nouns"
"9","escuela","school",0.265147063488034,-1.39065119335647,-0.875726865432425,"nouns"
"10","estrella","star",1.03007192537761,-0.761274115870926,-1.77619870685176,"nouns"
"11","frío","cold",0.365358157710267,-0.112935004595595,-0.717383644026827,"adjectives"
"12","gracias","thank you",0.0337759464336573,1.16526461426541,1.34904694865492,"other"
"13","hola","hi",0.382179405478411,1.84523592205666,1.22702931785511,"other"
"14","horno","oven",0.664178217042058,-3.50772603140537,-4.32269732969879,"nouns"
"15","llevar(se)","take",0.793555369485022,-4.24957266558011,-3.35875541749551,"verbs"
"16","lluvia","rain",0.147882603222559,-0.961413783367056,-1.34596885513514,"nouns"
"17","miau","meow",0.491613516224745,1.61499505819603,0.913843493821572,"other"
"18","noche","night",0.52563104544831,-1.53602016285425,-2.26102433211696,"other"
"19","oso","bear",0.826967906061529,0.814878571215753,-0.0944991864083985,"nouns"
"20","peine","comb (object)",1.50308321283414,-1.90118250120417,-0.67517955959508,"nouns"
"21","piernas","leg",0.00290625927877347,-1.69296445789028,-1.63905472519967,"nouns"
"22","recámara","bedroom",0.0285715656381713,-3.0252003076533,-3.19423156404741,"nouns"
"23","tirar","throw",0.117176197037173,-2.45722926485639,-2.11491917584765,"verbs"
"24","toalla","towel",0.266766995147516,-1.50562689070756,-2.02212180370043,"nouns"
"25","un","a",0.267408427743358,-2.33104384062288,-1.81392835280284,"function_words"
"26","una","a",1.51579470054085,-2.33104384062288,-1.09986769541016,"function_words"
"27","soplar","blow",6.83930537755855e-05,-1.59222192956956,-1.58395192027237,"verbs"
"28","muñeca","doll",1.94210645994312e-05,-0.299796146690809,-0.29538921299498,"nouns"
"29","carreola","stroller",6.49947233609853e-05,-1.84101257084479,-1.84907450134318,"nouns"
"30","lavabo","sink",0.000267421459873222,-3.14941313125969,-3.1330601052439,"nouns"
"31","ratón","mouse",0.000992887891556456,-1.12894912774985,-1.09743900411384,"nouns"
"32","dónde","where (question)",9.21843077147062e-05,-1.94703962202266,-1.956640887966,"function_words"
"33","juguete","toy (object)",0.00440747032468476,-0.327867644505822,-0.394256426123538,"nouns"
"34","estufa","stove",0.00392242254441117,-2.56861798304786,-2.63124722976544,"nouns"
"35","éstas","these",0.000456971609967214,-3.5434984767227,-3.56487537102396,"function_words"
"36","quiquiriquí","cockadoodledoo",0.00529396050459125,-1.11666984126315,-1.18942944890772,"other"
"37","shhh","shh",0.0262969012507435,0.605363009758686,0.44319981649109,"other"
"38","todo","all",0.00935217331714549,-2.23294214198187,-2.13623550665034,"function_words"
"39","tren","train",0.00347946923980284,-0.0989742015874407,-0.157961227616923,"nouns"
"40","¡am!","yum yum",0.015008711624655,0.809799079970875,0.687289032935316,"other"
"41","pañal","diaper",0.0109889653674811,0.894367482298276,0.999195748369413,"nouns"
"42","abrazar",NA,NA,NA,NA,NA
"43","agitar",NA,NA,NA,NA,NA
"44","al lado de",NA,NA,NA,NA,NA
"45","amiga",NA,NA,NA,NA,NA
"46","banco (outside)",NA,NA,NA,NA,NA
"47","bandeja",NA,NA,NA,NA,NA
"48","bandera",NA,NA,NA,NA,NA
"49","caber",NA,NA,NA,NA,NA
"50","chiquito",NA,NA,NA,NA,NA
"51","coca",NA,NA,NA,NA,NA
"52","debajo",NA,NA,NA,NA,NA
"53","el puré de manzana",NA,NA,NA,NA,NA
"54","escuchar",NA,NA,NA,NA,NA
"55","esta noche",NA,NA,NA,NA,NA
"56","feliz",NA,NA,NA,NA,NA
"57","gorra",NA,NA,NA,NA,NA
"58","gustar",NA,NA,NA,NA,NA
"59","ir de compras",NA,NA,NA,NA,NA
"60","juegos",NA,NA,NA,NA,NA
"61","la galleta salada",NA,NA,NA,NA,NA
"62","mentón",NA,NA,NA,NA,NA
"63","necesitar",NA,NA,NA,NA,NA
"64","nosotros",NA,NA,NA,NA,NA
"65","pensar",NA,NA,NA,NA,NA
"66","perseguir",NA,NA,NA,NA,NA
"67","pretender/fingir",NA,NA,NA,NA,NA
"68","probar",NA,NA,NA,NA,NA
"69","puede",NA,NA,NA,NA,NA
"70","rápido (descriptive)",NA,NA,NA,NA,NA
"71","rasgar",NA,NA,NA,NA,NA
"72","si",NA,NA,NA,NA,NA
"73","terminar",NA,NA,NA,NA,NA
"74","trapeador",NA,NA,NA,NA,NA
"75","último",NA,NA,NA,NA,NA
