"","word","uni_lemma","d_diff_sq","en_d","sp_d","lexical_class"
"1","a","a",0.267408427743358,-2.33104384062288,-1.81392835280284,"function_words"
"2","arm","arm",0.252130972971258,-0.732162066572183,-1.23428851774883,"nouns"
"3","baby","baby",0.0359005055747172,2.33622261333321,2.1467483259623,"other"
"4","be","be",1.01853940087902,-4.10020959999844,-3.09098246952729,"function_words"
"5","bed","bed",0.793504861987986,0.142082808758941,1.03287170742573,"nouns"
"6","boy","boy",2.06496811606193,-1.15598124233822,0.28101845009805,"other"
"7","broom","broom",0.0416438655296635,-1.27150766187761,-1.0674393754398,"nouns"
"8","bye","bye",1.24380389525002,3.13088369676654,2.01562413269635,"other"
"9","cat","cat",0.0491243156936462,1.26780485916199,1.04616480029707,"nouns"
"10","church*","church",0.164272456977826,-1.93130554783599,-2.33661093514021,"nouns"
"11","cockadoodledoo","cockadoodledoo",0.00529396050459125,-1.11666984126315,-1.18942944890772,"other"
"12","cow","cow",0.291845486528675,0.50568530081697,-0.0345419537053056,"nouns"
"13","dirty","dirty",1.00996354349717,-0.743588816750091,-1.74855824091043,"adjectives"
"14","eat","eat",0.0493311318146747,0.435326015832231,0.213219888463635,"verbs"
"15","egg","egg",1.50513743735359,-0.596947033272928,0.629893395370338,"nouns"
"16","fall","fall",2.08495469135761,-1.89019752986765,-0.446260311233264,"verbs"
"17","for","for",1.28580064286467,-4.87868882155746,-3.74475732324521,"function_words"
"18","frog","frog",1.36405505128844,-0.679530109040083,-1.84745778286601,"nouns"
"19","hand","hand",2.61655153611252,-0.159949257904093,1.45762656291932,"nouns"
"20","have","have",1.82967086434314,-3.84771764187266,-2.49506437353553,"verbs"
"21","here","here",2.03121840881754,-2.0518592702337,-0.626651071822839,"function_words"
"22","ice cream","ice cream",0.707337917115533,-0.607126255191705,-1.44816009346192,"nouns"
"23","inside/in","in",1.62737899948681,-1.49048002674349,-2.76616768423917,"function_words"
"24","keys","keys",0.113525270502559,0.0762584953002571,-0.260676617893008,"nouns"
"25","look","look",0.223909131753987,-1.49206132204368,-1.01887094623919,"verbs"
"26","milk","milk",0.324232234709662,1.40800237538779,1.97741631507461,"nouns"
"27","mine","mine",0.0795764693830841,0.317068608632326,0.599161624113185,"function_words"
"28","money","money",1.30839781283779,-1.2680466180487,-0.124194436673068,"nouns"
"29","monkey","monkey",0.692137031205755,-0.327854145737936,-1.15980187919585,"nouns"
"30","more","more",0.243424139266501,0.42960475257794,0.922985071669107,"function_words"
"31","mouth","mouth",0.989662624788873,0.452037697545126,1.44685558278286,"nouns"
"32","necklace","necklace",0.488688258681746,-2.29390001013977,-2.99296242414996,"nouns"
"33","new","new",0.680992157361995,-4.59127457346376,-3.76605208385141,"adjectives"
"34","now","now",0.0750653416046708,-2.20593067809591,-1.93195012841277,"other"
"35","party","party",1.95250458348361,-3.39637857944972,-1.99905807810309,"nouns"
"36","play","play",0.203361880956893,-1.32296594943159,-0.872009320744424,"verbs"
"37","put","put",1.35073251010377,-3.77137690364919,-2.60916672037606,"verbs"
"38","see","see",0.260317732906256,-0.786763416072335,-1.29697683505135,"verbs"
