word,translation,notes
bee/mee,baa baa,
miau,meow,
oso,bear,
pájaro,bird,
perro,dog,
caballo,horse,
avión,airplane,
barco,boat,
juegos,games,
el puré de manzana,applesauce,
dulce,candy,
coca,coke,
la galleta salada,cracker,
jugo,juice,
sombrero,hat,
gorra,hat,
collar,necklace,
calcetín,sock,
mentón,chin,
piernas,leg,
recámara,bedroom,
banco (outside),bench,
horno,oven,
escaleras,stairs,
peine,comb,
trapeador,mop,
plato,plate,
toalla,towel,
basura,trash,
bandeja,tray,
bandera,flag,
lluvia,rain,
cielo,sky,
estrella,star,
columpio,swing (object),
escuela,school,
amiga,friend,
persona,person,
hola,hi,
hola,hello,
ir de compras,shopping,
gracias,thank you,
llevar(se),carry,
perseguir,chase,
tirar,dump,
acabar,finish,
terminar,finish,
caber,fit,
abrazar,hug,
gustar,like,
escuchar,listen,
pretender/fingir,pretend,
rasgar,rip,
agitar,shake,
pensar,think,
probar,taste,
frío,cold,
rápido (descriptive),fast,
feliz,happy,
último,last,
chiquito,tiny,
después,after,
día,day,
noche,night,
esta noche,tonight,
ellos,them,
nosotros,us,
al lado de,beside,
abajo,down,
debajo,under,
un,a,
una,a,
mucho,much,
puede,could,
necesitar,need,
si,if,
