word,translation
baa baa,bee/mee
quack quack,cuacuá
vroom,pipi
bear,oso
bunny,conejo
horse,caballo
airplane,avión
bicycle,bicicleta
balloon,globo/bomba
pen,lápiz
toy (object),juguete
apple,manzana
banana,plátano/banana
cake,pastel
cheese,queso
chicken (food),pollo
bib,babero
button,botón
diaper,pañal
dress (object),vestido
pajamas,pijama
shirt,playera
belly button,ombligo
ear,oreja
face,cara
foot,pies
finger,dedo
hair,pelo
tongue,lengua
bathtub,tina
crib,cuna
door,puerta
drawer,cajón
refrigerator,refrigerador
stairs,escaleras
window,ventana
box,caja
brush,cepillo
watch (object) ,reloj
clock,reloj
comb,peine
glasses,lentes
light,luz
medicine,medicina
paper,papel
picture,fotos
pillow,almohada
purse,bolsa (clothing)
telephone,teléfono
towel,toalla
trash,basura
store,tienda/mercado
swing (object),columpio
tree,árbol
daddy*,papá
man,señor
nap,hacer la meme
thank you,gracias
bite,morder
blow,soplar
blow,aventar
close,cerrar
cry,llorar
dance,bailar
give,dar
go,ir(se)
hit,pegar(se)
open,abrir
say,decir
stop,parar(se)
throw,tirar
touch,tocar
walk,caminar
wash,lavar(se)
