"","word","uni_lemma","d_diff_sq","en_d","sp_d","lexical_class"
"1","ayudar","help",1.55266895354435,-1.07174924862628,-2.31781062494141,"verbs"
"2","brincar","jump",0.148599715934139,-1.40473858683159,-1.01925224993475,"verbs"
"3","cabeza","head",1.42669813323966,-0.425579828266133,0.768864868335455,"nouns"
"4","calcetín","sock",0.00500743343599616,0.234996977262172,0.164233756334941,"nouns"
"5","cantar","sing",2.50828523989682,-2.37402154827741,-0.790264862451957,"verbs"
"6","carreola","stroller",6.49947233609853e-05,-1.84101257084479,-1.84907450134318,"nouns"
"7","casa","house",2.49198692162388,-1.02603606176859,0.552566776700886,"nouns"
"8","cereal","cereal",1.20841939522791,-0.573832031099297,-1.67311333960405,"nouns"
"9","cuchara","spoon",0.245160181106297,0.536550542074915,0.0414140143310038,"nouns"
"10","dientes","tooth",0.0932330360709825,-0.294613709649585,0.0107271426302607,"nouns"
"11","empujar","push",1.19788782668885,-2.03187789457847,-3.12635851418251,"verbs"
"12","esperar(se)","wait",0.375389697535735,-2.72263039334453,-3.33532093312439,"other"
"13","galleta","cookie",0.126120356423725,1.56197569927557,1.20684141984914,"nouns"
"14","hola","hi",0.382179405478411,1.84523592205666,1.22702931785511,"other"
"15","jugo","juice",1.33520254354706,1.50737866485613,0.351869018186286,"nouns"
"16","león","lion",0.0250755029800554,-1.11793532128899,-1.27628778568426,"nouns"
"17","lluvia","rain",0.147882603222559,-0.961413783367056,-1.34596885513514,"nouns"
"18","luna","moon",0.0753006349011459,0.0888579246445614,-0.185551686887444,"nouns"
"19","me","me",0.893882119370562,-0.366687636111653,-1.31214102965919,"function_words"
"20","muñeca","doll",1.94210645994312e-05,-0.299796146690809,-0.29538921299498,"nouns"
"21","nariz","nose",2.99179219125753,2.18407375529423,0.454393960864777,"nouns"
"22","no","no",0.571086321142492,2.56500438784334,1.80930185301731,"other"
"23","noche","night",0.52563104544831,-1.53602016285425,-2.26102433211696,"other"
"24","oscuro","dark",0.990329309737152,-2.75967051054834,-3.75482341826512,"adjectives"
"25","piedra","rock (object)",0.889868621162848,-0.551162108317286,-1.49449058830867,"nouns"
"26","piernas","leg",0.00290625927877347,-1.69296445789028,-1.63905472519967,"nouns"
"27","planta","plant",0.340291056687659,-2.80440610981681,-2.22106139467176,"nouns"
"28","radio","radio",1.24249159750383,-3.03152675871644,-1.91685568727705,"nouns"
"29","ratón","mouse",0.000992887891556456,-1.12894912774985,-1.09743900411384,"nouns"
"30","romper","break",0.247860781114682,-2.60570968332284,-2.10785349815017,"verbs"
"31","silla","chair",0.652794267776089,0.106383204670395,0.914340052389435,"nouns"
"32","suave","soft",2.54909981574576,-2.74455918317268,-4.34114924193722,"adjectives"
"33","taza","cup",2.78938398370305,0.828387673336436,-0.841757225677735,"nouns"
"34","tortillitas","pattycake",0.379851043685552,-1.39536960427353,-0.779049035344057,"other"
"35","tutú","choo choo",1.14073022222228,0.548498277555357,-0.519551450791725,"other"
"36","yo","i",1.78709489508363,-1.11018490068735,0.226637785791163,"function_words"
"37","soplar","blow",6.83930537755855e-05,-1.59222192956956,-1.58395192027237,"verbs"
"38","quiquiriquí","cockadoodledoo",0.00529396050459125,-1.11666984126315,-1.18942944890772,"other"
"39","lavabo","sink",0.000267421459873222,-3.14941313125969,-3.1330601052439,"nouns"
"40","querer","wanna",0.0276935136204426,-1.7274988197623,-1.89391250195353,"other"
"41","juguete","toy (object)",0.00440747032468476,-0.327867644505822,-0.394256426123538,"nouns"
"42","estufa","stove",0.00392242254441117,-2.56861798304786,-2.63124722976544,"nouns"
"43","tren","train",0.00347946923980284,-0.0989742015874407,-0.157961227616923,"nouns"
"44","pañal","diaper",0.0109889653674811,0.894367482298276,0.999195748369413,"nouns"
"45","shhh","shh",0.0262969012507435,0.605363009758686,0.44319981649109,"other"
"46","pelo","hair",0.00907747305704986,0.947679305623774,0.852403531908469,"nouns"
"47","dónde","where (question)",9.21843077147062e-05,-1.94703962202266,-1.956640887966,"function_words"
"48","reloj","watch (object)",0.00792370649258737,-1.59743863963768,-1.50842343592176,"nouns"
"49","uvas","grapes",0.0129772510621233,-0.62162359864363,-0.735541336780074,"nouns"
"50","suéter","sweater",0.00707333030671765,-1.28539741724206,-1.20129432391775,"nouns"
"51","recámara","bedroom",0.0285715656381713,-3.0252003076533,-3.19423156404741,"nouns"
"52","algunos",NA,NA,NA,NA,NA
"53","alimentar",NA,NA,NA,NA,NA
"54","besar",NA,NA,NA,NA,NA
"55","gorra",NA,NA,NA,NA,NA
"56","lámpara",NA,NA,NA,NA,NA
"57","lastimado",NA,NA,NA,NA,NA
"58","lejos",NA,NA,NA,NA,NA
"59","no hay más",NA,NA,NA,NA,NA
"60","otro/otra vez",NA,NA,NA,NA,NA
"61","patear",NA,NA,NA,NA,NA
"62","rápido (descriptive)",NA,NA,NA,NA,NA
"63","saltar",NA,NA,NA,NA,NA
"64","sonreír",NA,NA,NA,NA,NA
"65","tostada",NA,NA,NA,NA,NA
