"","english","spanish","uni_lemma","d_diff_sq","en_d","sp_d","lexical_class"
"1","airplane","avión","airplane",0.0553900571811395,0.478147418952547,0.242796495476264,"nouns"
"2","balloon","globo/bomba","balloon",0.425201512196432,1.77539476984735,1.12331999484342,"nouns"
"3","bathtub","tina","bathtub",0.33310379572396,-0.454460100711402,-1.03161155026685,"nouns"
"4","bear","oso","bear",0.826967906061529,0.814878571215753,-0.0944991864083985,"nouns"
"5","bib","babero","bib",0.0580703731577542,-0.916167088151056,-1.15714503975193,"nouns"
"6","bicycle","bicicleta","bicycle",0.29251508476148,-0.359554665143275,-0.900401302149996,"nouns"
"7","blow","soplar","blow",6.83930537755855e-05,-1.59222192956956,-1.58395192027237,"verbs"
"8","box","caja","box",0.328401708852108,-0.708796161661162,-1.28185960391874,"nouns"
"9","brush","cepillo","brush (object)",0.0412821358112456,-0.441725126695145,-0.238545069083071,"nouns"
"10","button","botón","button",0.220299800781914,-0.493160931043221,-0.962521986928681,"nouns"
"11","cake","pastel","cake",0.134289973661345,-0.718427046469402,-0.351971082319076,"nouns"
"12","close","cerrar","close",0.057838694456146,-1.92136276108825,-1.6808659950889,"verbs"
"13","cry","llorar","cry",0.352789375614847,-1.67463212610483,-1.08067137351688,"verbs"
"14","dance","bailar","dance",0.980832517487903,-1.38930356575781,-0.398933676530606,"verbs"
"15","diaper","pañal","diaper",0.0109889653674811,0.894367482298276,0.999195748369413,"nouns"
"16","door","puerta","door",0.640165193262494,0.517189211236853,-0.282914027890758,"nouns"
"17","dress (object)","vestido","dress (object)",0.229190905496278,-2.16598069494135,-1.68724182510072,"nouns"
"18","foot","pies","foot",0.29986683287451,0.0994847820440276,0.6470857616583,"nouns"
"19","glasses","lentes","glasses",0.0622345699484938,-1.20388191919495,-1.45335049426703,"nouns"
"20","hair","pelo","hair",0.00907747305704986,0.947679305623774,0.852403531908469,"nouns"
"21","hit","pegar(se)","hit",0.934978825152819,-2.35209911814956,-1.38515608717368,"verbs"
"22","horse","caballo","horse",0.113477842930342,0.315704950582931,0.652569675554754,"nouns"
"23","light","luz","light (object)",0.0145430058601226,0.378728680730861,0.499323066421583,"nouns"
"24","man","señor","man",0.0748252111143992,-2.0375240197774,-1.76398204655501,"other"
"25","medicine","medicina","medicine",0.35458916052329,-1.97523059088743,-1.3797566951344,"nouns"
"26","open","abrir","open (action)",0.601030587226955,-0.552896907056777,0.222364717962129,"verbs"
"27","pajamas","pijama","pajamas",0.319920827559728,-1.49754095225876,-2.06315639366725,"nouns"
"28","paper","papel","paper",1.42514664361675,-1.21514532062551,-0.0213502613223016,"nouns"
"29","pillow","almohada","pillow",0.0328857806852305,-0.961926635677182,-1.14327100610326,"nouns"
"30","refrigerator","refrigerador","refrigerator",0.249848677610186,-3.02394965393062,-2.52410099922583,"nouns"
"31","say","decir","say",0.047619838627117,-3.50297829885791,-3.28475859620227,"verbs"
"32","stairs","escaleras","stairs",0.0781461153268323,-2.11521765901236,-1.83567139213185,"nouns"
"33","store","tienda/mercado","store",1.21953978890955,-2.05649805988168,-0.952170305585175,"nouns"
"34","telephone","teléfono","telephone",0.0448183258659085,-0.0379420694259195,-0.249645460673931,"nouns"
"35","thank you","gracias","thank you",0.0337759464336573,1.16526461426541,1.34904694865492,"other"
"36","throw","tirar","throw",0.0386110925448527,-2.45722926485639,-2.26073221005695,"verbs"
"37","tickle","cosquillitas","tickle",0.00227851357570889,-0.869462515901768,-0.91719629404376,"verbs"
"38","tongue","lengua","tongue",0.602152836257927,-1.27218160460682,-0.496196529841893,"nouns"
"39","touch","tocar","touch",0.731597995380995,-3.02829508383657,-2.17296006445469,"verbs"
"40","towel","toalla","towel",0.266766995147516,-1.50562689070756,-2.02212180370043,"nouns"
"41","toy (object)","juguete","toy (object)",0.00440747032468476,-0.327867644505822,-0.394256426123538,"nouns"
"42","tree","árbol","tree",0.962540610688777,0.452315842512355,-0.528775697910239,"nouns"
"43","walk","caminar","walk",0.0010362978792882,-1.06531257901482,-1.0975041598907,"verbs"
"44","wash","lavar(se)","wash",0.0774782738998729,-1.9606263487021,-1.68227715452351,"verbs"
"45","window","ventana","window",1.39031954584188,-2.28743208018141,-1.10831395809106,"nouns"
"46","sweater","suéter","sweater",0.00707333030671765,-1.28539741724206,-1.20129432391775,"nouns"
"47","stove","estufa","stove",0.00392242254441117,-2.56861798304786,-2.63124722976544,"nouns"
"48","grapes","uvas","grapes",0.0129772510621233,-0.62162359864363,-0.735541336780074,"nouns"
