"","english","spanish","uni_lemma","d_diff_sq","en_d","sp_d","lexical_class"
"49","watch (object)","reloj","watch (object)",0.00792370649258737,-1.59743863963768,-1.50842343592176,"nouns"
"50","penis*","pene","penis",0.0232136080806901,-1.35420048608582,-1.5065606123679,"nouns"
"51","animal","animal","animal",0.129448939683449,-1.74755978441355,-1.3877696515813,"nouns"
"52","draw","dibujar","draw",0.00327337177821494,-2.68073462188579,-2.62352123378288,"verbs"
"53","grandpa*","abuelo","grandpa",0.193723251433817,0.745708999622182,0.305568963458899,"other"
"54","scissors","tijeras","scissors",0.159504670983998,-3.14322473619481,-2.74384437740885,"nouns"
"55","elephant","elefante","elephant",0.120997555615939,-1.02706279166735,-1.37490982071308,"nouns"
"56","hurry","apurar(se)","hurry",0.173611161763327,-3.517831412096,-3.10116468464668,"verbs"
"57","vagina*","vagina","vagina",0.115724677506454,-2.53925374502111,-2.87943704488525,"nouns"
"58","cloud","nube","cloud",0.107028445536331,-2.38653818597566,-2.05938616391813,"nouns"
"59","run","correr","run",1.02118424891045,-2.25636417472347,-1.24582756038906,"verbs"
"60","helicopter","helicóptero","helicopter",0.180543042499915,-1.862567219565,-2.28747078803662,"nouns"
"61","cheek","cachete","cheek",0.10111160503323,-1.32555134540009,-1.64353185586139,"nouns"
"62","paint","pintar","paint (action)",0.75923828364541,-3.14249739264803,-2.27115458775123,"verbs"
"63","lamb","borrego","lamb",0.442232867157956,-2.49018162997794,-1.82517571484789,"nouns"
"64","brother","hermano","brother",0.284536936060164,-1.47167607085531,-0.938256033679945,"other"
"65","child's own name","(nombre del niño/a)","child's own name",0.178092678048752,0.489921982141757,0.0679117002187307,"other"
"66","coffee","café","coffee",0.424550004256525,-1.81860702112332,-1.16703200298917,"nouns"
"67","tights","medias","tights",0.327217949400789,-3.75381677116871,-3.18178709588885,"nouns"
"68","shorts","shorts","shorts",0.30017091139447,-2.28317596867709,-2.83105452401072,"nouns"
"69","orange (food)","naranja","orange (food)",0.446943568704864,-1.095279072124,-0.42674068975178,"nouns"
"70","sister","hermana","sister",0.450983700347566,-1.38454974237262,-0.712996542434178,"other"
"71","clock","reloj",NA,NA,NA,NA,NA
"72","nap","siesta",NA,NA,NA,NA,NA
"73","pen","lápiz",NA,NA,NA,NA,NA
"74","vroom","pipí",NA,NA,NA,NA,NA
