"","word","uni_lemma","d_diff_sq","en_d","sp_d","lexical_class"
"1","arm","arm",0.252130972971258,-0.732162066572183,-1.23428851774883,"nouns"
"2","bad","bad",0.560012488089478,-1.48062278861363,-2.22896260987766,"adjectives"
"3","banana","banana",3.54390136492302,1.88789621535028,0.00537095259203341,"nouns"
"4","bottle","bottle",0.0415181537405697,0.805843462562517,0.602083422955705,"nouns"
"5","cheek","cheek",0.10111160503323,-1.32555134540009,-1.64353185586139,"nouns"
"6","choo choo","choo choo",1.14073022222228,0.548498277555357,-0.519551450791725,"other"
"7","church*","church",0.164272456977826,-1.93130554783599,-2.33661093514021,"nouns"
"8","cloud","cloud",0.107028445536331,-2.38653818597566,-2.05938616391813,"nouns"
"9","cockadoodledoo","cockadoodledoo",0.00529396050459125,-1.11666984126315,-1.18942944890772,"other"
"10","cow","cow",0.291845486528675,0.50568530081697,-0.0345419537053056,"nouns"
"11","cry","cry",0.352789375614847,-1.67463212610483,-1.08067137351688,"verbs"
"12","dirty","dirty",1.00996354349717,-0.743588816750091,-1.74855824091043,"adjectives"
"13","door","door",0.640165193262494,0.517189211236853,-0.282914027890758,"nouns"
"14","egg","egg",1.50513743735359,-0.596947033272928,0.629893395370338,"nouns"
"15","flower","flower",1.14559474131221,0.349139215625299,-0.721185380612784,"nouns"
"16","frog","frog",1.36405505128844,-0.679530109040083,-1.84745778286601,"nouns"
"17","have","have",1.82967086434314,-3.84771764187266,-2.49506437353553,"verbs"
"18","here","here",2.03121840881754,-2.0518592702337,-0.626651071822839,"function_words"
"19","how","how",3.25563424466586,-4.31552232761413,-2.51118470824633,"function_words"
"20","jump","jump",0.148599715934139,-1.40473858683159,-1.01925224993475,"verbs"
"21","kiss","kiss",0.573757685402112,-0.169448161249428,0.588019782232084,"verbs"
"22","light","light (object)",0.0145430058601226,0.378728680730861,0.499323066421583,"nouns"
"23","look","look",0.223909131753987,-1.49206132204368,-1.01887094623919,"verbs"
"24","mine","mine",0.0795764693830841,0.317068608632326,0.599161624113185,"function_words"
"25","more","more",0.243424139266501,0.42960475257794,0.922985071669107,"function_words"
"26","new","new",0.680992157361995,-4.59127457346376,-3.76605208385141,"adjectives"
"27","pants","pants",0.109228693670837,-0.953932866364753,-0.623435220880194,"nouns"
"28","play","play",0.203361880956893,-1.32296594943159,-0.872009320744424,"verbs"
"29","please","please",1.98074398307568,1.02970579139578,-0.377683274596876,"other"
"30","pretty","pretty",0.0596125644999108,-1.21622563023742,-1.46038247429449,"adjectives"
"31","rain","rain",0.147882603222559,-0.961413783367056,-1.34596885513514,"nouns"
"32","shirt","shirt",3.43049936806329,-0.584271673744729,-2.43643240328828,"nouns"
"33","sit","sit",0.576639070944106,-0.513833736284379,-1.27320128295997,"verbs"
"34","sleep","sleep",1.71117427128914,-1.46930547553016,-0.161186875674195,"verbs"
"35","sun","sun",1.70188506608564,-1.35765333742886,-0.0530901668289715,"nouns"
"36","the","the",0.0786386269820749,-3.28055509868633,-3.00012930282925,"function_words"
"37","tiger","tiger",1.09099043406922,-1.41657621264486,-2.46108108772646,"nouns"
"38","tired","tired",0.0683425690934893,-3.35668391644131,-3.0952597991654,"adjectives"
"39","TV","tv",0.225074100871514,-0.430784835996954,0.0436349157751599,"nouns"
"40","who","who",1.08706784214928,-2.98247974540855,-1.9398542890968,"function_words"
"41","yes","yes",0.675840040966246,1.09089529578614,1.91299020573648,"other"
"42","doll","doll",1.94210645994312e-05,-0.299796146690809,-0.29538921299498,"nouns"
"43","stroller","stroller",6.49947233609853e-05,-1.84101257084479,-1.84907450134318,"nouns"
"44","sink","sink",0.000267421459873222,-3.14941313125969,-3.1330601052439,"nouns"
"45","mouse","mouse",0.000992887891556456,-1.12894912774985,-1.09743900411384,"nouns"
"46","where","where (question)",9.21843077147062e-05,-1.94703962202266,-1.956640887966,"function_words"
"47","wanna/want to","wanna",0.0276935136204426,-1.7274988197623,-1.89391250195353,"other"
"48","shh/shush/hush","shh",0.0262969012507435,0.605363009758686,0.44319981649109,"other"
"49","yum yum","yum yum",0.015008711624655,0.809799079970875,0.687289032935316,"other"
"50","blow","blow",6.83930537755855e-05,-1.59222192956956,-1.58395192027237,"verbs"
"51","full","full",0.0414288182912669,-3.92755518578318,-3.72401448152168,"adjectives"
"52","these","these",0.000456971609967214,-3.5434984767227,-3.56487537102396,"function_words"
"53","toy (object)","toy (object)",0.00440747032468476,-0.327867644505822,-0.394256426123538,"nouns"
"54","sick","sick",0.0347224625718697,-3.71214043304668,-3.52580078999703,"adjectives"
"55","stove","stove",0.00392242254441117,-2.56861798304786,-2.63124722976544,"nouns"
"56","baby","baby",0.0359005055747172,2.33622261333321,2.1467483259623,"other"
"57","bell",NA,NA,NA,NA,NA
"58","buttocks/bottom*",NA,NA,NA,NA,NA
"59","buy",NA,NA,NA,NA,NA
"60","clown",NA,NA,NA,NA,NA
"61","do",NA,NA,NA,NA,NA
"62","drum",NA,NA,NA,NA,NA
"63","godmother",NA,NA,NA,NA,NA
"64","hear",NA,NA,NA,NA,NA
"65","hers",NA,NA,NA,NA,NA
"66","hose",NA,NA,NA,NA,NA
"67","in the morning",NA,NA,NA,NA,NA
"68","know",NA,NA,NA,NA,NA
"69","let’s go",NA,NA,NA,NA,NA
"70","matches",NA,NA,NA,NA,NA
"71","mustache",NA,NA,NA,NA,NA
"72","pot",NA,NA,NA,NA,NA
"73","potato",NA,NA,NA,NA,NA
"74","pumpkin",NA,NA,NA,NA,NA
"75","snake",NA,NA,NA,NA,NA
"76","then",NA,NA,NA,NA,NA
"77","to",NA,NA,NA,NA,NA
"78","turn off",NA,NA,NA,NA,NA
"79","win",NA,NA,NA,NA,NA
