word,translation
¡ay!,
guaguá,woof
muu,moo
tutú,
quiquiriquí,cockadoodledoo
gato,cat
pato,duck
vaca,cow
rana,frog
víbora,snake
tigre,tiger
carro/coche,car
camión/troca,truck
leche,milk
papas,potato
huevo,egg
carne,meat
plátano/banana,banana
arroz,rice
calabaza,pumpkin
chícharo,pea
zapato,shoe
pantalón,pants
camisa,shirt
falda,skirt
mano,hand
brazo,arm
bigote,mustache
pelota,ball
libro,book
tambor,drum
botella/mamila,bottle
jabón,soap
luz,light
vasos,cup
escoba,broom
cerillos,matches
olla,pot
periódico,newspaper
cama,bed
baño,bathroom
televisión,TV
puerta,door
sol,sun
flor,flower
manguera,hose
timbre,doorbell
calle,street
iglesia/templo,church*
fiesta,party
mamá,mom
niño,boy
payaso,clown
madrina,godmother
adíos/byebye,bye
vámonos,let’s go
por favor,please
buenas noches,good night
caer(se),fall
dormir(se),sleep
jugar,play
comprar,buy
sentar(se),sit
besar,kiss
oír,hear
llover,rain
mirar,look
ganar,win
hacer,do
saltar,jump
saber,know
prender,turn on
estar,be
haber (hay),have
caliente,hot
sucio,dirty
grande,big
roto,broken
cansado,tired
nuevo,new
malo,bad
bonita,pretty
en la mañana,in the morning
hoy,today
mío,mine
ésta,this
suya,hers
nuestro,our
dónde,where
quién,who
cómo,how
a,to
la,the
sí,yes
no,no
más,more
no hay,all gone
aquí,here
afuera,outside
entonces,so
